,feature_t-19,feature_t-18,feature_t-17,feature_t-16,feature_t-15,feature_t-14,feature_t-13,feature_t-12,feature_t-11,feature_t-10,feature_t-9,feature_t-8,feature_t-7,feature_t-6,feature_t-5,feature_t-4,feature_t-3,feature_t-2,feature_t-1,feature_t-0,target,normalizeValue
0,1.0,1.0015572175630827,1.0009967199845775,0.9993161627309625,1.0010132708181962,1.0028263067009073,1.0075691279747157,1.0037020616797758,1.0036313248560924,1.0056356308073187,1.005093267185648,1.004503769668237,1.0014737437935273,1.002711674188061,1.0021457795985933,1.0002594163269367,1.0017592816535232,1.0034735882156913,1.002123399993135,1.002324312721237,1.0038524583852675,424.0899963378906
1,1.0,0.999440373881116,0.9977624295518803,0.9994568989815582,1.0012671159625932,1.006002563114927,1.0021415093207673,1.0020708824784432,1.0040720721419785,1.003530551785318,1.002941970816529,0.9999166560151617,1.0011526616799662,1.0005876469413728,0.998704216580553,1.000201749921919,1.001913391086404,1.0005653021316445,1.0007659024813589,1.002291672190002,1.0027536565197521,424.7503967285156
2,1.0,0.9983211161234965,1.0000165343534984,1.0018277649464804,1.0065658636626096,1.0027026479120131,1.0026319815229319,1.004634291731558,1.0040924681562728,1.0035035576177649,1.0004765488232141,1.0017132465763823,1.0011479154637326,0.999263430495904,1.000761802365304,1.0024744019452452,1.0011255581422633,1.0013262708160322,1.002852894863366,1.0033151378763794,1.0049541955275005,424.5126953125
3,1.0,1.001698269427161,1.003512545979795,1.00825861279097,1.0043889002423692,1.0043181150131077,1.006323792521364,1.0057810577574344,1.0051911568437937,1.0021590575065538,1.0033978350233215,1.002831553189231,1.0009438990693362,1.0024447907615985,1.0041602704327,1.0028091582692917,1.0030102084830228,1.004539399865112,1.0050024202355599,1.0066442343018451,1.0092968441597288,423.7999877929688
4,1.0,1.0018112006459505,1.0065492210219757,1.002686069146098,1.0026154039254205,1.0046176810276892,1.0040758664109586,1.0034869656095446,1.0004600068637997,1.0016966841693082,1.0011313624038884,0.9992469085942853,1.0007452556894847,1.0024578269531672,1.0011090054520768,1.0013097148072463,1.0028363136132556,1.0032985489835062,1.0049375795343167,1.0075856921834487,1.0107421918525514,424.5197143554688
5,1.0,1.004729454385188,1.0008732868025267,1.000802749339348,1.0028014064725261,1.0022605714165982,1.0016727353043304,0.9986512490763934,0.9998856905606882,0.9993213908552592,0.9974403439989374,0.9989359821932731,1.0006454572546202,0.999299074323165,0.9994994208106469,1.0010232596387865,1.0014846593216333,1.003120726626285,1.0057640516833661,1.008914844634241,1.006892722851562,425.2886047363281
6,1.0,0.9961619841382864,0.9960917787084856,0.9980810277789244,0.99754273853741,0.9969576694825494,0.9939504059702182,0.9951790367015131,0.9946173932631068,0.9927452008553777,0.9942337987936664,0.9959352270277905,0.9945951817792126,0.9947945851973242,0.9963112510236207,0.9967704788096015,0.9983988448314304,1.0010297272501196,1.0041656888138253,1.0021530855464944,1.0020510269918808,427.2999877929688
7,1.0,0.99992952408251,1.0019264373376966,1.001386074173788,1.000798750963129,0.9977799010569739,0.9990132654604125,0.9984494581204926,0.9965700525242746,0.9980643857371368,0.9997723692390329,0.998427161060127,0.9986273327403223,1.0001498419812351,1.0006108390813984,1.00224547887669,1.0048864975670035,1.0080345413727692,1.006014183941571,1.0059117321754538,1.0074237739860987,425.6600036621094
8,1.0,1.0019970539993994,1.0014566527502171,1.0008692881444985,0.9978502254671312,0.9990836767991841,0.9985198297216241,0.996640291663237,0.9981347301980262,0.9998428340801104,0.998497531089742,0.9986977168782145,1.0002203334269255,1.0006813630185722,1.0023161180247226,1.0049573228563702,1.0081055885390482,1.0060850887112711,1.0059826297242627,1.007494778104952,1.0108270254256027,425.6300048828125
9,1.0,0.9994606758103477,0.9988744818655908,0.9958614364027155,0.9970924293753292,0.9965297060865637,0.994653914086093,0.996145374094707,0.9978500735998269,0.9965074518974988,0.9967072387009364,0.9982268205626131,0.998686931288295,1.0003184281071982,1.0029543688228972,1.0060963597799684,1.0040798869573064,1.003977632178613,1.0054867667360985,1.008812372642174,1.0090156657326348,426.4800109863281
